"","Country","VAT","IncomeTaxTop","CorporateTax"
"1","Afghanistan",0,20,20
"2","Albania",20,23,15
"3","Algeria",19,35,26
"4","American Samoa",0,6,34
"5","Andorra",9.5,10,10
"6","Angola",14,17,30
"7","Anguilla",0,0,0
"8","Antigua and Barbuda",15,0,25
"9","Argentina",21,35,35
"10","Armenia",20,22,18
"11","Aruba",1.5,58.95,25
"12","Australia",10,45,30
"13","Austria",20,55,23
"14","Azerbaijan",18,25,20
"15","Azores",16,36.2,16.8
"16","Bahamas",12,8.8,0
"17","Bahrain",10,0,0
"18","Bangladesh",15,25,32.5
"19","Barbados",17.5,38,30
"20","Belarus",20,43.37,20
"21","Belgium",21,60.45,25
"22","Belize",12.5,25,37.5
"23","Benin",18,35,35
"24","Bermuda",0,0,0
"25","Bhutan",NA,25,26
"26","Bolivia",13,25,29
"27","Bosnia and Herzegovina",17,10,10
"28","Botswana",14,25,22
"29","Brazil",30.7,27.5,40
"30","Brunei",NA,0,18.5
"31","Bulgaria",20,10,10
"32","Burkina Faso",18,25,27.5
"33","Burundi",18,35,35
"34","Cambodia",10,20,20
"35","Cameroon",19.25,35,31.5
"36","Canada",15,58.5,31
"37","Cape Verde",15,27.5,25
"38","Cayman Islands",0,0,0
"39","Central African Republic",19,50,30
"40","Chad",NA,NA,20
"41","Chile",19,40,27
"42","China",13,45,25
"43","Colombia",19,39,35
"44","Comoros",NA,NA,35
"45","Cook Islands",15,30,30
"46","DR Congo",20,40,35
"47","Congo",18.9,NA,30
"48","Costa Rica",13,25,30
"49","Croatia",25,40,18
"50","Cuba",20,50,30
"51","Curaçao",9,46.5,22
"52","Cyprus",19,35,12.5
"53","Czech Republic",21,45.7,21
"54","Denmark",25,52.07,25
"55","Djibouti",NA,NA,25
"56","Dominica",15,35,25
"57","Dominican Republic",18,25,27
"58","Timor-Leste",NA,NA,10
"59","Ecuador",15,35,25
"60","Egypt",14,27.5,22.5
"61","El Salvador",13,30,30
"62","Equatorial Guinea",15,35,35
"63","Eritrea",NA,NA,34
"64","Estonia",22,23.6,20
"65","Eswatini (Swaziland)",15,33,27.5
"66","Ethiopia",NA,35,30
"67","Falkland Islands",0,26,26
"68","Faroe Islands",NA,NA,18
"69","Micronesia",NA,NA,21
"70","Fiji",9,20,20
"71","Finland",25.5,53.61,NA
"72","France",20,55.34,25
"73","French Polynesia",NA,NA,25
"74","Gabon",18,35,35
"75","Gambia",NA,30,31
"76","Germany",19,45,30
